id;code;name;status;create_date;create_name;update_date;update_name
1;hard zero;Response Branding;false;2022-05-17T21:30:25;Outdoors Research;2022-05-17T17:27:32;Usability Avon red
2;Checking portals leading-edge;supply-chains interface Uganda;true;2022-05-17T18:31:29;Money turquoise New;2022-05-17T18:21:02;Music
3;transmit;Metal client-driven Tasty;false;2022-05-18T01:15:23;synthesizing Pound;2022-05-18T02:43:02;generate functionalities Gold
4;Kyat;Steel;true;2022-05-18T04:09:04;Forward state;2022-05-18T13:49:01;integrate
5;visualize XSS Tonga;Berkshire Rubber;false;2022-05-18T00:24:08;drive Intranet;2022-05-17T19:35:51;grow Liberian Engineer
6;Gloves violet;Dollar withdrawal;true;2022-05-17T19:36:38;compress synthesize;2022-05-17T20:12:36;interactive
7;Human;holistic open-source;true;2022-05-18T01:35:25;Developer Centralized;2022-05-18T02:55:16;empower
8;Functionality redundant;fresh-thinking Fresh;false;2022-05-18T04:20:56;Borders;2022-05-17T18:03:26;hacking Right-sized Ruble
9;Plastic payment AGP;Sudan Georgia green;false;2022-05-18T13:52:25;Lanka Czech Investment;2022-05-18T11:24:33;transition payment pixel
10;analyzing rich;South Avon;true;2022-05-18T02:40:00;architectures;2022-05-18T02:59:22;Central
