id;code;category_code;producer_code;name;image_url;quantity;price;status;create_date;create_name;update_date;update_name
1;Steel;Assistant;cross-platform Principal;wireless Computer;reboot magenta THX;6602;88209;true;2022-05-18T14:05:13;Centers Metal navigating;2022-05-18T02:11:35;Incredible Korea
2;compressing withdrawal green;Bedfordshire Lao neutral;Bike;Computer CFP orange;Village;95487;35518;true;2022-05-17T18:39:06;auxiliary;2022-05-17T18:18:13;Mexico yellow Cape
3;Ethiopia;Crossroad CSS;De-engineered;Central Intelligent;pixel methodical quantifying;78950;33734;true;2022-05-17T21:21:18;online virtual;2022-05-18T10:32:13;Computer Arizona mobile
4;AGP lavender;navigate brand up;systems Gorgeous;Brand;Plastic Cambridgeshire;16025;2730;true;2022-05-18T08:26:12;Operations Chicken;2022-05-18T01:14:35;Mobility Arkansas Kids
5;programming Algeria Rustic;Taka;wireless Practical Solutions;International Square;Frozen Sausages;15800;64290;true;2022-05-18T05:58:07;CFA;2022-05-18T04:47:28;Ball project bypassing
6;non-volatile Technician;convergence moratorium Stand-alone;transmit;pink Sausages;Computers Man;10558;606;false;2022-05-18T03:16:26;Vista;2022-05-18T08:54:22;Account portals Berkshire
7;Wooden Concrete;Rwanda Account;grid-enabled Tasty Keyboard;Producer;back-end application;41129;88756;true;2022-05-18T14:33:21;Open-architected Venezuela JBOD;2022-05-18T15:10:23;orange
8;exuding copying;methodologies Future;transmitting Account;bluetooth;Utah Mouse;79227;39903;true;2022-05-18T06:15:01;Programmable Awesome;2022-05-18T09:18:39;Persistent Rustic
9;solution-oriented Palladium Lebanon;Avon Nevada clicks-and-mortar;Rubber aggregate indexing;Computer PCI;Visionary Baby teal;23964;99027;false;2022-05-18T06:37:32;Refined;2022-05-17T19:37:41;systems payment Home
10;Shirt indigo Paraguay;payment;back-end Liechtenstein U.S.;frictionless wireless user-facing;Account compress;67011;78517;false;2022-05-18T05:39:01;US users;2022-05-18T12:13:24;deposit generation regional
